Grade ID,Section ID,Student ID,Assessment ID,Grade,Total
1,26319,1,1,2,2
2,26319,1,2,2,2
3,26319,1,3,2,2
4,26319,1,4,2,2
5,26319,1,5,2,2
6,26319,1,6,2,2
7,26319,1,7,2,2
8,26319,1,8,2,2
9,26319,1,9,2,2
10,26319,1,10,2,2
11,26319,1,11,2,2
12,26319,1,12,2,2
13,26319,1,13,2,2
14,26319,1,14,2,2
15,26319,1,54,96,100
16,26319,1,15,10,10
17,26319,1,16,10,10
18,26319,1,17,8,10
19,26319,1,18,10,10
20,26319,1,19,10,10
21,26319,1,20,6,10
22,26319,1,21,2,10
23,26319,1,22,8,10
24,26319,1,23,6,10
25,26319,1,24,6,10
26,26319,1,25,4,10
27,26319,1,26,10,10
28,26319,1,27,2,2
29,26319,1,28,2,2
30,26319,1,29,2,2
31,26319,1,30,2,2
32,26319,1,31,2,2
33,26319,1,32,2,2
34,26319,1,33,2,2
35,26319,1,34,2,2
36,26319,1,35,2,2
37,26319,1,36,2,2
38,26319,1,37,2,2
39,26319,1,38,0,2
40,26319,1,39,2,0
41,26319,1,40,0,2
42,26319,1,41,10,10
43,26319,1,42,10,10
44,26319,1,43,10,10
45,26319,1,44,5,5
46,26319,1,45,10,10
47,26319,1,46,3,3
48,26319,1,47,3,3
49,26319,1,48,3,3
50,26319,1,49,4,4
51,26319,1,50,76,100
52,26319,1,51,64,100
53,26319,1,52,82,100
54,26319,1,53,3,3
55,26319,2,1,1,2
56,26319,2,2,2,2
57,26319,2,3,0,2
58,26319,2,4,1,2
59,26319,2,5,2,2
60,26319,2,6,2,2
61,26319,2,7,2,2
62,26319,2,8,2,2
63,26319,2,9,2,2
64,26319,2,10,2,2
65,26319,2,11,2,2
66,26319,2,12,2,2
67,26319,2,13,0,2
68,26319,2,14,0,2
69,26319,2,54,42,100
70,26319,2,15,10,10
71,26319,2,16,12,10
72,26319,2,17,8,10
73,26319,2,18,12,10
74,26319,2,19,10,10
75,26319,2,20,8,10
76,26319,2,21,8,10
77,26319,2,22,8,10
78,26319,2,23,8,10
79,26319,2,24,12,10
80,26319,2,25,0,10
81,26319,2,26,0,10
82,26319,2,27,2,2
83,26319,2,28,2,2
84,26319,2,29,2,2
85,26319,2,30,2,2
86,26319,2,31,2,2
87,26319,2,32,2,2
88,26319,2,33,2,2
89,26319,2,34,2,2
90,26319,2,35,2,2
91,26319,2,36,2,2
92,26319,2,37,2,2
93,26319,2,38,0,2
94,26319,2,39,0,0
95,26319,2,40,0,2
96,26319,2,41,10,10
97,26319,2,42,10,10
98,26319,2,43,10,10
99,26319,2,44,5,5
100,26319,2,45,10,10
101,26319,2,46,3,3
102,26319,2,47,3,3
103,26319,2,48,3,3
104,26319,2,49,4,4
105,26319,2,50,93,100
106,26319,2,51,83,100
107,26319,2,52,78,100
108,26319,2,53,1,3
109,26319,3,1,2,2
110,26319,3,2,2,2
111,26319,3,3,1,2
112,26319,3,4,2,2
113,26319,3,5,1,2
114,26319,3,6,1,2
115,26319,3,7,2,2
116,26319,3,8,0,2
117,26319,3,9,2,2
118,26319,3,10,2,2
119,26319,3,11,1,2
120,26319,3,12,1,2
121,26319,3,13,0,2
122,26319,3,14,1,2
123,26319,3,54,69,100
124,26319,3,15,10,10
125,26319,3,16,10,10
126,26319,3,17,8,10
127,26319,3,18,10,10
128,26319,3,19,10,10
129,26319,3,20,8,10
130,26319,3,21,10,10
131,26319,3,22,10,10
132,26319,3,23,6,10
133,26319,3,24,10,10
134,26319,3,25,10,10
135,26319,3,26,10,10
136,26319,3,27,2,2
137,26319,3,28,2,2
138,26319,3,29,2,2
139,26319,3,30,2,2
140,26319,3,31,2,2
141,26319,3,32,2,2
142,26319,3,33,2,2
143,26319,3,34,2,2
144,26319,3,35,2,2
145,26319,3,36,2,2
146,26319,3,37,2,2
147,26319,3,38,2,2
148,26319,3,39,0,0
149,26319,3,40,2,2
150,26319,3,41,10,10
151,26319,3,42,10,10
152,26319,3,43,10,10
153,26319,3,44,5,5
154,26319,3,45,10,10
155,26319,3,46,3,3
156,26319,3,47,3,3
157,26319,3,48,3,3
158,26319,3,49,4,4
159,26319,3,50,79,100
160,26319,3,51,92,100
161,26319,3,52,81,100
162,26319,3,53,3,3
163,26319,4,1,2,2
164,26319,4,2,2,2
165,26319,4,3,2,2
166,26319,4,4,2,2
167,26319,4,5,2,2
168,26319,4,6,2,2
169,26319,4,7,2,2
170,26319,4,8,2,2
171,26319,4,9,2,2
172,26319,4,10,2,2
173,26319,4,11,2,2
174,26319,4,12,2,2
175,26319,4,13,2,2
176,26319,4,14,2,2
177,26319,4,54,92,100
178,26319,4,15,10,10
179,26319,4,16,12,10
180,26319,4,17,10,10
181,26319,4,18,10,10
182,26319,4,19,10,10
183,26319,4,20,10,10
184,26319,4,21,10,10
185,26319,4,22,10,10
186,26319,4,23,10,10
187,26319,4,24,10,10
188,26319,4,25,10,10
189,26319,4,26,10,10
190,26319,4,27,2,2
191,26319,4,28,2,2
192,26319,4,29,2,2
193,26319,4,30,2,2
194,26319,4,31,2,2
195,26319,4,32,2,2
196,26319,4,33,2,2
197,26319,4,34,2,2
198,26319,4,35,2,2
199,26319,4,36,2,2
200,26319,4,37,2,2
201,26319,4,38,2,2
202,26319,4,39,2,0
203,26319,4,40,2,2
204,26319,4,41,10,10
205,26319,4,42,10,10
206,26319,4,43,10,10
207,26319,4,44,5,5
208,26319,4,45,10,10
209,26319,4,46,3,3
210,26319,4,47,3,3
211,26319,4,48,3,3
212,26319,4,49,4,4
213,26319,4,50,92,100
214,26319,4,51,98,100
215,26319,4,52,90,100
216,26319,4,53,3,3
217,26319,5,1,2,2
218,26319,5,2,2,2
219,26319,5,3,2,2
220,26319,5,4,2,2
221,26319,5,5,2,2
222,26319,5,6,2,2
223,26319,5,7,2,2
224,26319,5,8,2,2
225,26319,5,9,2,2
226,26319,5,10,2,2
227,26319,5,11,2,2
228,26319,5,12,2,2
229,26319,5,13,2,2
230,26319,5,14,2,2
231,26319,5,54,96,100
232,26319,5,15,10,10
233,26319,5,16,10,10
234,26319,5,17,10,10
235,26319,5,18,10,10
236,26319,5,19,10,10
237,26319,5,20,8,10
238,26319,5,21,10,10
239,26319,5,22,10,10
240,26319,5,23,10,10
241,26319,5,24,8,10
242,26319,5,25,8,10
243,26319,5,26,10,10
244,26319,5,27,2,2
245,26319,5,28,2,2
246,26319,5,29,2,2
247,26319,5,30,2,2
248,26319,5,31,2,2
249,26319,5,32,2,2
250,26319,5,33,2,2
251,26319,5,34,2,2
252,26319,5,35,2,2
253,26319,5,36,2,2
254,26319,5,37,2,2
255,26319,5,38,2,2
256,26319,5,39,1,0
257,26319,5,40,2,2
258,26319,5,41,9,10
259,26319,5,42,10,10
260,26319,5,43,10,10
261,26319,5,44,5,5
262,26319,5,45,10,10
263,26319,5,46,3,3
264,26319,5,47,3,3
265,26319,5,48,3,3
266,26319,5,49,4,4
267,26319,5,50,93,100
268,26319,5,51,89,100
269,26319,5,52,98,100
270,26319,5,53,3,3
271,26319,6,1,2,2
272,26319,6,2,2,2
273,26319,6,3,0,2
274,26319,6,4,2,2
275,26319,6,5,0,2
276,26319,6,6,2,2
277,26319,6,7,2,2
278,26319,6,8,2,2
279,26319,6,9,2,2
280,26319,6,10,2,2
281,26319,6,11,2,2
282,26319,6,12,2,2
283,26319,6,13,2,2
284,26319,6,14,2,2
285,26319,6,54,38,100
286,26319,6,15,8,10
287,26319,6,16,10,10
288,26319,6,17,10,10
289,26319,6,18,6,10
290,26319,6,19,10,10
291,26319,6,20,8,10
292,26319,6,21,6,10
293,26319,6,22,6,10
294,26319,6,23,10,10
295,26319,6,24,10,10
296,26319,6,25,10,10
297,26319,6,26,10,10
298,26319,6,27,2,2
299,26319,6,28,2,2
300,26319,6,29,2,2
301,26319,6,30,2,2
302,26319,6,31,2,2
303,26319,6,32,2,2
304,26319,6,33,2,2
305,26319,6,34,0,2
306,26319,6,35,2,2
307,26319,6,36,1,2
308,26319,6,37,0,2
309,26319,6,38,2,2
310,26319,6,39,0,0
311,26319,6,40,2,2
312,26319,6,41,10,10
313,26319,6,42,10,10
314,26319,6,43,9,10
315,26319,6,44,5,5
316,26319,6,45,10,10
317,26319,6,46,3,3
318,26319,6,47,3,3
319,26319,6,48,3,3
320,26319,6,49,4,4
321,26319,6,50,69,100
322,26319,6,51,73,100
323,26319,6,52,72,100
324,26319,6,53,1,3
325,26319,7,1,2,2
326,26319,7,2,2,2
327,26319,7,3,2,2
328,26319,7,4,2,2
329,26319,7,5,2,2
330,26319,7,6,2,2
331,26319,7,7,2,2
332,26319,7,8,1,2
333,26319,7,9,2,2
334,26319,7,10,2,2
335,26319,7,11,1,2
336,26319,7,12,2,2
337,26319,7,13,2,2
338,26319,7,14,2,2
339,26319,7,54,100,100
340,26319,7,15,10,10
341,26319,7,16,8,10
342,26319,7,17,10,10
343,26319,7,18,8,10
344,26319,7,19,10,10
345,26319,7,20,6,10
346,26319,7,21,8,10
347,26319,7,22,8,10
348,26319,7,23,10,10
349,26319,7,24,6,10
350,26319,7,25,10,10
351,26319,7,26,10,10
352,26319,7,27,2,2
353,26319,7,28,2,2
354,26319,7,29,2,2
355,26319,7,30,2,2
356,26319,7,31,2,2
357,26319,7,32,2,2
358,26319,7,33,2,2
359,26319,7,34,2,2
360,26319,7,35,2,2
361,26319,7,36,2,2
362,26319,7,37,2,2
363,26319,7,38,0,2
364,26319,7,39,2,0
365,26319,7,40,,2
366,26319,7,41,10,10
367,26319,7,42,10,10
368,26319,7,43,10,10
369,26319,7,44,5,5
370,26319,7,45,10,10
371,26319,7,46,3,3
372,26319,7,47,3,3
373,26319,7,48,3,3
374,26319,7,49,4,4
375,26319,7,50,73,100
376,26319,7,51,61,100
377,26319,7,52,73,100
378,26319,7,53,3,3
379,26319,8,1,2,2
380,26319,8,2,2,2
381,26319,8,3,2,2
382,26319,8,4,2,2
383,26319,8,5,2,2
384,26319,8,6,2,2
385,26319,8,7,2,2
386,26319,8,8,2,2
387,26319,8,9,2,2
388,26319,8,10,2,2
389,26319,8,11,2,2
390,26319,8,12,2,2
391,26319,8,13,2,2
392,26319,8,14,2,2
393,26319,8,54,100,100
394,26319,8,15,10,10
395,26319,8,16,12,10
396,26319,8,17,10,10
397,26319,8,18,10,10
398,26319,8,19,8,10
399,26319,8,20,10,10
400,26319,8,21,10,10
401,26319,8,22,10,10
402,26319,8,23,10,10
403,26319,8,24,10,10
404,26319,8,25,10,10
405,26319,8,26,10,10
406,26319,8,27,2,2
407,26319,8,28,2,2
408,26319,8,29,2,2
409,26319,8,30,2,2
410,26319,8,31,2,2
411,26319,8,32,2,2
412,26319,8,33,2,2
413,26319,8,34,2,2
414,26319,8,35,2,2
415,26319,8,36,2,2
416,26319,8,37,2,2
417,26319,8,38,2,2
418,26319,8,39,2,0
419,26319,8,40,2,2
420,26319,8,41,10,10
421,26319,8,42,10,10
422,26319,8,43,10,10
423,26319,8,44,5,5
424,26319,8,45,10,10
425,26319,8,46,3,3
426,26319,8,47,3,3
427,26319,8,48,3,3
428,26319,8,49,4,4
429,26319,8,50,79,100
430,26319,8,51,77,100
431,26319,8,52,90,100
432,26319,8,53,3,3
433,26319,9,1,2,2
434,26319,9,2,2,2
435,26319,9,3,2,2
436,26319,9,4,2,2
437,26319,9,5,2,2
438,26319,9,6,2,2
439,26319,9,7,2,2
440,26319,9,8,1,2
441,26319,9,9,2,2
442,26319,9,10,2,2
443,26319,9,11,0,2
444,26319,9,12,2,2
445,26319,9,13,2,2
446,26319,9,14,2,2
447,26319,9,54,19,100
448,26319,9,15,8,10
449,26319,9,16,8,10
450,26319,9,17,8,10
451,26319,9,18,10,10
452,26319,9,19,8,10
453,26319,9,20,8,10
454,26319,9,21,10,10
455,26319,9,22,8,10
456,26319,9,23,10,10
457,26319,9,24,6,10
458,26319,9,25,6,10
459,26319,9,26,8,10
460,26319,9,27,2,2
461,26319,9,28,2,2
462,26319,9,29,2,2
463,26319,9,30,2,2
464,26319,9,31,2,2
465,26319,9,32,2,2
466,26319,9,33,2,2
467,26319,9,34,2,2
468,26319,9,35,2,2
469,26319,9,36,2,2
470,26319,9,37,2,2
471,26319,9,38,2,2
472,26319,9,39,0,0
473,26319,9,40,2,2
474,26319,9,41,9,10
475,26319,9,42,10,10
476,26319,9,43,10,10
477,26319,9,44,5,5
478,26319,9,45,10,10
479,26319,9,46,3,3
480,26319,9,47,3,3
481,26319,9,48,3,3
482,26319,9,49,4,4
483,26319,9,50,82,100
484,26319,9,51,90,100
485,26319,9,52,76,100
486,26319,9,53,1,3
487,26319,10,1,2,2
488,26319,10,2,2,2
489,26319,10,3,2,2
490,26319,10,4,0,2
491,26319,10,5,2,2
492,26319,10,6,2,2
493,26319,10,7,2,2
494,26319,10,8,2,2
495,26319,10,9,2,2
496,26319,10,10,2,2
497,26319,10,11,2,2
498,26319,10,12,2,2
499,26319,10,13,0,2
500,26319,10,14,0,2
501,26319,10,54,38,100
502,26319,10,15,2,10
503,26319,10,16,4,10
504,26319,10,17,4,10
505,26319,10,18,10,10
506,26319,10,19,10,10
507,26319,10,20,10,10
508,26319,10,21,10,10
509,26319,10,22,6,10
510,26319,10,23,10,10
511,26319,10,24,8,10
512,26319,10,25,,10
513,26319,10,26,,10
514,26319,10,27,2,2
515,26319,10,28,2,2
516,26319,10,29,2,2
517,26319,10,30,2,2
518,26319,10,31,1,2
519,26319,10,32,2,2
520,26319,10,33,2,2
521,26319,10,34,2,2
522,26319,10,35,1,2
523,26319,10,36,2,2
524,26319,10,37,0,2
525,26319,10,38,0,2
526,26319,10,39,0,0
527,26319,10,40,0,2
528,26319,10,41,3,10
529,26319,10,42,7,10
530,26319,10,43,10,10
531,26319,10,44,5,5
532,26319,10,45,8,10
533,26319,10,46,1,3
534,26319,10,47,2,3
535,26319,10,48,3,3
536,26319,10,49,,4
537,26319,10,50,49,100
538,26319,10,51,16,100
539,26319,10,52,0,100
540,26319,10,53,1,3
541,26319,11,1,2,2
542,26319,11,2,2,2
543,26319,11,3,2,2
544,26319,11,4,2,2
545,26319,11,5,2,2
546,26319,11,6,2,2
547,26319,11,7,2,2
548,26319,11,8,2,2
549,26319,11,9,2,2
550,26319,11,10,2,2
551,26319,11,11,2,2
552,26319,11,12,0,2
553,26319,11,13,0,2
554,26319,11,14,0,2
555,26319,11,54,58,100
556,26319,11,15,10,10
557,26319,11,16,11,10
558,26319,11,17,10,10
559,26319,11,18,8,10
560,26319,11,19,10,10
561,26319,11,20,8,10
562,26319,11,21,6,10
563,26319,11,22,6,10
564,26319,11,23,10,10
565,26319,11,24,0,10
566,26319,11,25,0,10
567,26319,11,26,6,10
568,26319,11,27,2,2
569,26319,11,28,2,2
570,26319,11,29,2,2
571,26319,11,30,2,2
572,26319,11,31,2,2
573,26319,11,32,2,2
574,26319,11,33,2,2
575,26319,11,34,2,2
576,26319,11,35,2,2
577,26319,11,36,2,2
578,26319,11,37,1,2
579,26319,11,38,0,2
580,26319,11,39,0,0
581,26319,11,40,2,2
582,26319,11,41,9,10
583,26319,11,42,10,10
584,26319,11,43,10,10
585,26319,11,44,4.6,5
586,26319,11,45,10,10
587,26319,11,46,3,3
588,26319,11,47,3,3
589,26319,11,48,3,3
590,26319,11,49,4,4
591,26319,11,50,88,100
592,26319,11,51,94,100
593,26319,11,52,80,100
594,26319,11,53,2,3
595,26319,12,1,2,2
596,26319,12,2,2,2
597,26319,12,3,2,2
598,26319,12,4,2,2
599,26319,12,5,2,2
600,26319,12,6,2,2
601,26319,12,7,2,2
602,26319,12,8,2,2
603,26319,12,9,2,2
604,26319,12,10,2,2
605,26319,12,11,2,2
606,26319,12,12,2,2
607,26319,12,13,2,2
608,26319,12,14,2,2
609,26319,12,54,96,100
610,26319,12,15,10,10
611,26319,12,16,11,10
612,26319,12,17,8,10
613,26319,12,18,7,10
614,26319,12,19,10,10
615,26319,12,20,10,10
616,26319,12,21,10,10
617,26319,12,22,10,10
618,26319,12,23,10,10
