"Timestamp","Which of the following classes is this assignment for?","Are you reviewing a project or a homework assignment?","Which project are you reviewing (enter a # between 1 and 11)?","On a scale from 1 to 5, how satisfied are you with the rubric for this project?","In what ways was this rubric helpful to you?","In what ways could this rubric be more helpful?","On a scale from 1 to 5, how satisfied are you with the checklist for this project?","In what ways was this checklist helpful to you?","In what ways could this checklist be more helpful?","Which homework assignment are you reviewing (enter a # between 1 and 37)?","Have you had a chance to check out the key for this assignment?","How satisfied are you with the homework key?","In what ways was this homework key helpful to you?","In what ways could this homework key be more helpful?","How much time did you spend on this assignment in hours?","What resources did you use to help you complete this assignment?","Which of the following emotions did you experience **before** starting this project (select all that apply)?","Which of the following emotions did you experience while completing this project (select all that apply)?","Which of the following emotions did you experience **after** completing this project (select all that apply)?"
"2021/12/21 8:47:17 PM EST","","Project","1","4","Nice to have outline of grading.","The last section says ""Student outlines techniques and shares at least one resource on how they learned HTML for this project,"" but there was no place in the project to share this information.","","","","","","","","","","","","",""
"2021/12/21 8:47:18 PM EST","","Project","6","2","It gave me an understanding of what goal I was meant to accomplish.","It could have explained what the pregiven assests did to give me a better understanding of what I should edit.","","","","","","","","","","","","",""
"2021/12/21 8:47:19 PM EST","","Project","9","4","It was very clear and helped me understand what was expected of me.","It's a bit unclear as to how I'm supposed to show my understanding of computational biology in this program.","","","","","","","","","","","","",""
"2021/12/21 8:47:20 PM EST","","Project","1","4","It gave me more a grading format to follow instead of a project format. It made me know what to do exactly instead of wondering if it was up to the grader's standards.","None that I can think of now!","","","","","","","","","","","","",""
"2021/12/21 8:47:21 PM EST","","Project","2","4","","","","","","","","","","","","","","",""
"2021/12/21 8:47:22 PM EST","","Project","2","5","It lists everything I need to do to earn full credit.","If there are any specifics that graders are looking for it would be nice to know those.","","","","","","","","","","","","",""
"2021/12/21 8:47:24 PM EST","","Project","2","4","The rubric specifies what is required in terms of implementation of Java concepts.","Slightly more detailed expectations, it seems that each file submitted has the exact same short description.","","","","","","","","","","","","",""
"2021/12/21 8:47:25 PM EST","","Project","10","4","Helped to know what to use","NA","","","","","","","","","4","","","",""
"2021/12/21 8:47:26 PM EST","","Project","11","5","Very useful to know what to include","NA","","","","","","","","","6","","","",""
"2021/12/21 8:47:28 PM EST","","Project","11","4","made sense","i got points off for not using the remainder in a division? im not sure how i was supposed to use the remainder, but maybe certain operations could be specified more in depth","","","","","","","","","2","","","",""
"2021/12/21 8:47:29 PM EST","","Project","10","5","clear and concise","it's good!","","","","","","","","","4","","","",""
"2021/12/21 8:47:30 PM EST","","Project","9","4","clearly outlines the importance of testing","don't really understand what ""computational biology"" is, i don't think we needed to understand that to do the project, it was just testing string methods wasn't it? i get that the entire file does computational bio stuff, but we didn't really interface with it","","","","","","","","","3","","","",""
"2021/12/21 8:47:32 PM EST","","Project","8","4","clear and concise","include more info about testing requirements explicitly, since that's a major focus of the project","","","","","","","","","3","","","",""
"2021/12/21 8:47:33 PM EST","","Project","7","5","it mentions the core of the project, recursion and avoiding loops","it's good!","","","","","","","","","1","","","",""
