Year,Season,Section,Top Hat,TH-Attendance,Homework #1,Homework #2,Homework #3,Homework #4,Homework #5,Homework #6,Homework #7,Homework #8,Homework #9,Homework #10,Homework #11,Homework #12,Homework #13,Homework #14,Homework #15,Homework #16,Homework #17,Homework #18,Homework #19,Homework #20,Homework #21,Homework #22,Hello Jack,Project #1,Project #2,Project #3,Project #4,Project #5,Project #6,Project #7,Project #8,Project #9,Project #10,Project #11,Midterm Exam #1,Midterm Exam #2,Final Exam,Participation
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,88.46,78.05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,8,8,10,10,10,9,9,9.5,8.5,9,86,94,105,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,76.92,60.98,2,2,1,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,0,0,10,8,7,8,9.5,9,7.5,7.5,9.5,10,9,76,97,65,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,80.77,80.49,2,2,1.5,2,0,2,2,2,1,2,2,0,0,2,2,2,2,1,2,2,2,0,0,10,9.5,9,9,9,10,8.5,5,9,10,10,83,54,82,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,76.92,39.02,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9,10,8.5,8.5,10,8,8.5,9,9.5,9.5,75,64,61,3
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,84.62,85.37,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,0,10,9.75,10,9,9.5,10,9,9,9.5,9,9.5,80,56,89,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,50,78.05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9,9,8.5,7,10,8,8,8.5,12,10,54.5,91,62,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,96.15,36.59,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,9.5,8,10,10,9,9.5,9,12,10,94,84,97,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,57.69,58.54,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,10,9,9.5,9.5,10,10,9,10,9.5,11,9,80.5,90,78,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,84.62,68.29,2,2,1.5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,10,9,7.5,7.5,9,10,8,9,7,4.5,9.5,82,72,59,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,26.92,21.95,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,9,9.5,9,5,9.5,10,6,2.5,8,10,10,74,77,72,2
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,80.77,24.39,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,0,10,10,8,9,10,10,7,6,8.5,8,9.5,86,73,91,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,88.46,46.34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,9.5,10,10,9,8.5,10,11.5,9.5,93,84,95,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,,,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,10,9.5,8,8.5,9,10,9,9,9.5,9,10,89,82,87,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,96.15,63.41,2,2,1.5,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,9,9.5,8,9.5,10,9.5,9,9,10,12,10,96,93,100,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,96.15,56.1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,9.5,9.5,9.5,8.5,10,10,9,9,10,11.5,9,90,100,102,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,92.31,12.2,2,2,1,2,1.5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9.5,9,7.5,9,10,9,10,9,8,9.5,92,90,92,3
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,73.08,9.76,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,0,9.5,10,9,10,10,10,0,8,8,8,10,77.5,62,50,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,10,9.5,9.5,9.5,10,10,10,7.5,7,6,10,92,68,87,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,88.46,58.54,2,2,1.5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,9.5,9.5,10,9.5,8.5,10,9.5,10,9.5,94,81,93,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,3.85,14.63,2,0,1.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8.5,7.5,10,10,8.5,10,9.5,9,7,78,63,63,1
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,69.23,82.93,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,9.5,9.5,10,10,9.5,10,10,10,91,96,100,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,46.15,53.66,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,9.5,9.5,9,8.5,10,10,9,9,8.5,8.55,10,81,69,89,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,96.15,58.54,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,12,10,89,86,82,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,96.15,43.9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9,9.5,9.5,10,10,9,10,9,12,10,91,94,105,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,42.31,46.34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9,10,8.5,10,10,8,9.5,8,8,9.5,82,61,92,4
2023,Spring,6582 | CSE 2221: DL 357 3:00 - 3:55,76.92,29.27,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,0,10,10,9,9,9,10,10,10,9.5,9,8,55,97,74,4
