Section ID,Course ID,Semester ID,Course Type,Section Days,Section Start Time,Section End Time,Section Building,Section Room Number,Educator Title,Educator Role
7382,3,17,Lecture,WeFr,12:40,13:35,CL,177,Lecturer,Instructor of Record
7384,3,17,Lab,TuTh,12:40,13:35,PO,155,Lecturer,Instructor of Record
7381,3,17,Lecture,WeFr,13:50,14:45,CL,177,Lecturer,Instructor of Record
7383,3,17,Lab,TuTh,13:50,14:45,PO,155,Lecturer,Instructor of Record
6753,3,17,Lecture,WeFr,15:00,15:55,DL,357,Lecturer,Instructor of Record
6754,3,17,Lab,TuTh,15:00,15:55,DL,280,Lecturer,Instructor of Record
12411,3,16,Lecture,WeFr,10:20,11:15,CH,232,Lecturer,Instructor of Record
12412,3,16,Lab,TuTh,10:20,11:15,BE,480,Lecturer,Instructor of Record
12413,3,16,Lecture,WeFr,12:40,13:35,JR,375,Lecturer,Instructor of Record
12414,3,16,Lab,TuTh,12:40,13:35,PO,155,Lecturer,Instructor of Record
12415,3,16,Lecture,WeFr,13:50,14:45,DB,080,Lecturer,Instructor of Record
12416,3,16,Lab,TuTh,13:50,14:45,PO,155,Lecturer,Instructor of Record
6580,2,14,Lecture,TuTh,13:50,14:45,DL,357,Graduate Teaching Associate,Instructor of Record
6581,2,14,Lab,WeFr,13:50,14:45,DL,280,Graduate Teaching Associate,Instructor of Record
6582,2,14,Lecture,TuTh,15:00,15:55,DL,357,Graduate Teaching Associate,Instructor of Record
6583,2,14,Lab,WeFr,15:00,15:55,DL,280,Graduate Teaching Associate,Instructor of Record
7116,2,13,Lecture,TuTh,10:20,11:15,DL,264,Graduate Teaching Associate,Instructor of Record
7117,2,13,Lab,WeFr,10:20,11:15,DL,280,Graduate Teaching Associate,Instructor of Record
25427,2,11,Lecture,TuTh,12:40,13:35,DL,266,Graduate Teaching Associate,Instructor of Record
25428,2,11,Lab,WeFr,12:40,13:35,PO,155,Graduate Teaching Associate,Instructor of Record
37465,2,11,Lecture,TuTh,11:30,12:25,DL,266,Graduate Teaching Associate,Instructor of Record
37467,2,11,Lab,WeFr,11:30,12:25,PO,155,Graduate Teaching Associate,Instructor of Record
29428,2,10,Lecture,TuTh,16:10,17:05,DL,357,Graduate Teaching Associate,Instructor of Record
29429,2,10,Lab,WeFr,16:10,17:05,BE,470,Graduate Teaching Associate,Instructor of Record
11278,2,5,Lecture,TuTh,12:40,13:35,ML,129,Graduate Teaching Associate,Instructor of Record
11279,2,5,Lab,WeFr,12:40,13:35,CL,112A,Graduate Teaching Associate,Instructor of Record
35160,2,4,Lecture,TuTh,16:10,17:05,CM,213,Graduate Teaching Associate,Instructor of Record
35161,2,4,Lab,WeFr,16:10,17:05,PO,155,Graduate Teaching Associate,Instructor of Record
4457,2,3,Lab,MoTuWeThFr,10:20,11:15,DL,280,Graduate Teaching Associate,Grader
8281,1,2,Lecture,MoWe,16:10,17:05,DL,305,Graduate Teaching Associate,Instructor of Record
8282,1,2,Lab,Th,16:10,17:05,PO,155,Graduate Teaching Associate,Instructor of Record
26319,1,1,Lecture,MoWe,13:50,14:45,UH,082,Graduate Teaching Associate,Instructor of Record
26320,1,1,Lab,Th,13:50,14:45,BE,310,Graduate Teaching Associate,Instructor of Record
