Semester ID,Semester Year,Semester Season,Semester Abbreviation,Academic Year
1,2018,Autumn,Au18,2018-2019
2,2019,Spring,Sp19,2018-2019
3,2019,Summer,Su19,2018-2019
4,2019,Autumn,Au19,2019-2020
5,2020,Spring,Sp20,2019-2020
6,2020,Summer,Su20,2019-2020
7,2020,Autumn,Au20,2020-2021
8,2021,Spring,Sp21,2020-2021
9,2021,Summer,Su21,2020-2021
10,2021,Autumn,Au21,2021-2022
11,2022,Spring,Sp22,2021-2022
12,2022,Summer,Su22,2021-2022
13,2022,Autumn,Au22,2022-2023
14,2023,Spring,Sp23,2022-2023
15,2023,Summer,Su23,2022-2023
16,2023,Autumn,Au23,2023-2024
17,2024,Spring,Sp23,2023-2024
