Year,Season,Course,Question,Index,Group,Mean,Standard Deviation,Section
2023,Autumn,CSE 2231,The subject matter of this course was well organized,1,Instructor,4.21,1.17,12411
2023,Autumn,CSE 2231,This course was intellectually stimulating,2,Instructor,4.45,0.98,12411
2023,Autumn,CSE 2231,This instructor was genuinely interested in teaching,3,Instructor,5.00,0.00,12411
2023,Autumn,CSE 2231,The instructor encouraged students to think for themselves,4,Instructor,4.97,0.16,12411
2023,Autumn,CSE 2231,The instructor was well prepared,5,Instructor,4.95,0.23,12411
2023,Autumn,CSE 2231,The instructor was genuinely interested in helping students,6,Instructor,5.00,0.00,12411
2023,Autumn,CSE 2231,I learned a great deal from this instructor,7,Instructor,4.92,0.27,12411
2023,Autumn,CSE 2231,The instructor created an atmosphere conducive to learning,8,Instructor,4.82,0.61,12411
2023,Autumn,CSE 2231,The instructor communicated the subject matter clearly,9,Instructor,4.95,0.23,12411
2023,Autumn,CSE 2231,"Overall, I would rate this instructor as",10,Instructor,4.97,0.16,12411
2023,Autumn,CSE 2231,The subject matter of this course was well organized,1,Department,4.28,0.90,,
2023,Autumn,CSE 2231,This course was intellectually stimulating,2,Department,4.24,0.94,,
2023,Autumn,CSE 2231,This instructor was genuinely interested in teaching,3,Department,4.38,0.88,,
2023,Autumn,CSE 2231,The instructor encouraged students to think for themselves,4,Department,4.35,0.86,,
2023,Autumn,CSE 2231,The instructor was well prepared,5,Department,4.33,0.88,,
2023,Autumn,CSE 2231,The instructor was genuinely interested in helping students,6,Department,4.38,0.89,,
2023,Autumn,CSE 2231,I learned a great deal from this instructor,7,Department,4.17,1.03,,
2023,Autumn,CSE 2231,The instructor created an atmosphere conducive to learning,8,Department,4.21,0.99,,
2023,Autumn,CSE 2231,The instructor communicated the subject matter clearly,9,Department,4.18,1.02,,
2023,Autumn,CSE 2231,"Overall, I would rate this instructor as",10,Department,4.29,0.99,,
2023,Autumn,CSE 2231,The subject matter of this course was well organized,1,College,4.24,0.94,,
2023,Autumn,CSE 2231,This course was intellectually stimulating,2,College,4.25,0.94,,
2023,Autumn,CSE 2231,This instructor was genuinely interested in teaching,3,College,4.43,0.84,,
2023,Autumn,CSE 2231,The instructor encouraged students to think for themselves,4,College,4.41,0.82,,
2023,Autumn,CSE 2231,The instructor was well prepared,5,College,4.32,0.91,,
2023,Autumn,CSE 2231,The instructor was genuinely interested in helping students,6,College,4.44,0.84,,
2023,Autumn,CSE 2231,I learned a great deal from this instructor,7,College,4.17,1.02,,
2023,Autumn,CSE 2231,The instructor created an atmosphere conducive to learning,8,College,4.25,0.97,,
2023,Autumn,CSE 2231,The instructor communicated the subject matter clearly,9,College,4.20,1.02,,
2023,Autumn,CSE 2231,"Overall, I would rate this instructor as",10,College,4.33,0.98,,
2023,Autumn,CSE 2231,The subject matter of this course was well organized,1,University,4.31,0.91,,
2023,Autumn,CSE 2231,This course was intellectually stimulating,2,University,4.25,0.96,,
2023,Autumn,CSE 2231,This instructor was genuinely interested in teaching,3,University,4.48,0.83,,
2023,Autumn,CSE 2231,The instructor encouraged students to think for themselves,4,University,4.45,0.81,,
2023,Autumn,CSE 2231,The instructor was well prepared,5,University,4.40,0.89,,
2023,Autumn,CSE 2231,The instructor was genuinely interested in helping students,6,University,4.48,0.84,,
2023,Autumn,CSE 2231,I learned a great deal from this instructor,7,University,4.23,1.01,,
2023,Autumn,CSE 2231,The instructor created an atmosphere conducive to learning,8,University,4.33,0.93,,
2023,Autumn,CSE 2231,The instructor communicated the subject matter clearly,9,University,4.27,1.00,,
2023,Autumn,CSE 2231,"Overall, I would rate this instructor as",10,University,4.39,0.95,,
2023,Spring,CSE 2221,The subject matter of this course was well organized,1,Instructor,3.79,1.19,6580
2023,Spring,CSE 2221,This course was intellectually stimulating,2,Instructor,4.37,0.71,6580
2023,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,Instructor,4.97,0.16,6580
2023,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,Instructor,4.89,0.39,6580
2023,Spring,CSE 2221,The instructor was well prepared,5,Instructor,4.92,0.27,6580
2023,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,Instructor,5.00,0.00,6580
2023,Spring,CSE 2221,I learned a great deal from this instructor,7,Instructor,4.89,0.31,6580
2023,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,Instructor,4.95,0.23,6580
2023,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,Instructor,4.92,0.27,6580
2023,Spring,CSE 2221,"Overall, I would rate this instructor as",10,Instructor,5.00,0.00,6580
2023,Spring,CSE 2221,The subject matter of this course was well organized,1,Department,4.26,0.94,6580
2023,Spring,CSE 2221,This course was intellectually stimulating,2,Department,4.21,0.98,,
2023,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,Department,4.34,0.92,,
2023,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,Department,4.32,0.90,,
2023,Spring,CSE 2221,The instructor was well prepared,5,Department,4.32,0.91,,
2023,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,Department,4.33,0.94,,
2023,Spring,CSE 2221,I learned a great deal from this instructor,7,Department,4.14,1.05,,
2023,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,Department,4.17,1.03,,
2023,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,Department,4.17,1.04,,
2023,Spring,CSE 2221,"Overall, I would rate this instructor as",10,Department,4.28,0.99,,
2023,Spring,CSE 2221,The subject matter of this course was well organized,1,College,4.24,0.98,,
2023,Spring,CSE 2221,This course was intellectually stimulating,2,College,4.27,0.96,,
2023,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,College,4.45,0.85,,
2023,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,College,4.42,0.84,,
2023,Spring,CSE 2221,The instructor was well prepared,5,College,4.35,0.92,,
2023,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,College,4.44,0.87,,
2023,Spring,CSE 2221,I learned a great deal from this instructor,7,College,4.20,1.02,,
2023,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,College,4.26,0.99,,
2023,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,College,4.21,1.03,,
2023,Spring,CSE 2221,"Overall, I would rate this instructor as",10,College,4.36,0.96,,
2023,Spring,CSE 2221,The subject matter of this course was well organized,1,University,4.3,0.94,,
