Section ID,Question ID,Group,Mean,Standard Deviation
12415,1,Instructor,4.26,1.07
12415,2,Instructor,4.66,0.68
12415,3,Instructor,5.00,0.00
12415,4,Instructor,4.97,0.17
12415,5,Instructor,4.91,0.28
12415,6,Instructor,5.00,0.00
12415,7,Instructor,4.94,0.24
12415,8,Instructor,4.97,0.17
12415,9,Instructor,4.97,0.17
12415,10,Instructor,4.97,0.17
12415,1,Department,4.28,0.90
12415,2,Department,4.24,0.94
12415,3,Department,4.38,0.88
12415,4,Department,4.35,0.86
12415,5,Department,4.33,0.88
12415,6,Department,4.38,0.89
12415,7,Department,4.17,1.03
12415,8,Department,4.21,0.99
12415,9,Department,4.18,1.02
12415,10,Department,4.29,0.99
12415,1,College,4.24,0.94
12415,2,College,4.25,0.94
12415,3,College,4.43,0.84
12415,4,College,4.41,0.82
12415,5,College,4.32,0.91
12415,6,College,4.44,0.84
12415,7,College,4.17,1.02
12415,8,College,4.25,0.97
12415,9,College,4.20,1.02
12415,10,College,4.33,0.98
12415,1,University,4.31,0.91
12415,2,University,4.25,0.96
12415,3,University,4.48,0.83
12415,4,University,4.45,0.81
12415,5,University,4.40,0.89
12415,6,University,4.48,0.84
12415,7,University,4.23,1.01
12415,8,University,4.33,0.93
12415,9,University,4.27,1.00
12415,10,University,4.39,0.95
12413,1,Instructor,4.44,0.94
12413,2,Instructor,4.50,0.85
12413,3,Instructor,4.78,0.76
12413,4,Instructor,4.75,0.77
12413,5,Instructor,4.78,0.76
12413,6,Instructor,4.78,0.76
12413,7,Instructor,4.78,0.76
12413,8,Instructor,4.75,0.77
12413,9,Instructor,4.75,0.77
12413,10,Instructor,4.86,0.42
12413,1,Department,4.28,0.90
12413,2,Department,4.24,0.94
12413,3,Department,4.38,0.88
12413,4,Department,4.35,0.86
12413,5,Department,4.33,0.88
12413,6,Department,4.38,0.89
12413,7,Department,4.17,1.03
12413,8,Department,4.21,0.99
12413,9,Department,4.18,1.02
12413,10,Department,4.29,0.99
12413,1,College,4.24,0.94
12413,2,College,4.25,0.94
12413,3,College,4.43,0.84
12413,4,College,4.41,0.82
12413,5,College,4.32,0.91
12413,6,College,4.44,0.84
12413,7,College,4.17,1.02
12413,8,College,4.25,0.97
