Question ID,Question,Scale
1,The subject matter of this course was well organized,5
2,This course was intellectually stimulating,5
3,This instructor was genuinely interested in teaching,5
4,The instructor encouraged students to think for themselves,5
5,The instructor was well prepared,5
6,The instructor was genuinely interested in helping students,5
7,I learned a great deal from this instructor,5
8,The instructor created an atmosphere conducive to learning,5
9,The instructor communicated the subject matter clearly,5
10,"Overall, I would rate this instructor as",5
