Cohort Score ID,Semester ID,SEI Question ID,Cohort,Mean,Standard Deviation
1,18,1,Department,4.29,0.93
2,18,2,Department,4.21,0.96
3,18,3,Department,4.36,0.88
4,18,4,Department,4.33,0.88
5,18,5,Department,4.33,0.92
6,18,6,Department,4.37,0.91
7,18,7,Department,4.14,1.06
8,18,8,Department,4.19,1
9,18,9,Department,4.17,1.05
10,18,10,Department,4.25,1.01
11,18,1,College,4.26,0.95
12,18,2,College,4.24,0.96
13,18,3,College,4.47,0.82
14,18,4,College,4.44,0.81
15,18,5,College,4.37,0.9
16,18,6,College,4.48,0.82
17,18,7,College,4.2,1
18,18,8,College,4.3,0.94
19,18,9,College,4.22,1.01
20,18,10,College,4.36,0.95
21,18,1,University,4.33,0.9
22,18,2,University,4.25,0.95
23,18,3,University,4.48,0.83
24,18,4,University,4.45,0.81
25,18,5,University,4.4,0.89
26,18,6,University,4.48,0.84
27,18,7,University,4.24,1.01
28,18,8,University,4.34,0.92
29,18,9,University,4.28,1
30,18,10,University,4.39,0.96
31,17,1,Department,4.27,0.92
32,17,2,Department,4.2,0.98
33,17,3,Department,4.34,0.91
34,17,4,Department,4.34,0.87
35,17,5,Department,4.33,0.91
36,17,6,Department,4.34,0.92
37,17,7,Department,4.13,1.05
38,17,8,Department,4.18,1.02
39,17,9,Department,4.17,1.03
40,17,10,Department,4.25,1.02
41,17,1,College,4.26,0.95
42,17,2,College,4.29,0.93
43,17,3,College,4.47,0.82
44,17,4,College,4.44,0.81
45,17,5,College,4.37,0.9
46,17,6,College,4.45,0.85
47,17,7,College,4.22,1
48,17,8,College,4.29,0.96
49,17,9,College,4.24,1
50,17,10,College,4.37,0.95
51,17,1,University,4.34,0.91
52,17,2,University,4.3,0.94
53,17,3,University,4.51,0.83
54,17,4,University,4.48,0.81
55,17,5,University,4.42,0.88
56,17,6,University,4.48,0.86
57,17,7,University,4.26,1.01
58,17,8,University,4.34,0.95
59,17,9,University,4.3,1
60,17,10,University,4.4,0.96
61,16,1,Department,4.28,0.9
62,16,2,Department,4.24,0.94
63,16,3,Department,4.38,0.88
64,16,4,Department,4.35,0.86
65,16,5,Department,4.33,0.88
66,16,6,Department,4.38,0.89
67,16,7,Department,4.17,1.03
68,16,8,Department,4.21,0.99
69,16,9,Department,4.18,1.02
70,16,10,Department,4.29,0.99
71,16,1,College,4.24,0.94
72,16,2,College,4.25,0.94
73,16,3,College,4.43,0.84
74,16,4,College,4.41,0.82
75,16,5,College,4.32,0.91
76,16,6,College,4.44,0.84
77,16,7,College,4.17,1.02
78,16,8,College,4.25,0.97
79,16,9,College,4.2,1.02
80,16,10,College,4.33,0.98
81,16,1,University,4.31,0.91
82,16,2,University,4.25,0.96
83,16,3,University,4.48,0.83
84,16,4,University,4.45,0.81
85,16,5,University,4.4,0.89
86,16,6,University,4.48,0.84
87,16,7,University,4.23,1.01
88,16,8,University,4.33,0.93
89,16,9,University,4.27,1
90,16,10,University,4.39,0.95
91,14,1,Department,4.26,0.94
92,14,2,Department,4.21,0.98
93,14,3,Department,4.34,0.92
94,14,4,Department,4.32,0.9
95,14,5,Department,4.32,0.91
96,14,6,Department,4.33,0.94
97,14,7,Department,4.14,1.05
98,14,8,Department,4.17,1.03
99,14,9,Department,4.17,1.04
100,14,10,Department,4.28,0.99
101,14,1,College,4.24,0.98
102,14,2,College,4.27,0.96
103,14,3,College,4.45,0.85
104,14,4,College,4.42,0.84
105,14,5,College,4.35,0.92
106,14,6,College,4.44,0.87
107,14,7,College,4.2,1.02
108,14,8,College,4.26,0.99
109,14,9,College,4.21,1.03
110,14,10,College,4.36,0.96
111,14,1,University,4.3,0.94
112,14,2,University,4.28,0.96
113,14,3,University,4.49,0.85
114,14,4,University,4.47,0.83
115,14,5,University,4.41,0.9
116,14,6,University,4.47,0.87
117,14,7,University,4.25,1.03
118,14,8,University,4.33,0.97
119,14,9,University,4.29,1.01
120,14,10,University,4.41,0.95
121,13,1,Department,4.29,0.91
122,13,2,Department,4.25,0.94
123,13,3,Department,4.35,0.9
124,13,4,Department,4.34,0.88
125,13,5,Department,4.33,0.89
126,13,6,Department,4.36,0.92
127,13,7,Department,4.17,1.03
128,13,8,Department,4.19,1
129,13,9,Department,4.17,1.03
130,13,10,Department,4.29,0.98
131,13,1,College,4.26,0.96
132,13,2,College,4.23,0.98
133,13,3,College,4.43,0.87
134,13,4,College,4.39,0.85
135,13,5,College,4.34,0.91
