SEI Comment ID,SEI Report ID,Comment
1,8,Jeremy is hands down the best professor I've had at OSU.
2,8,"Easily the best professor / teacher I've had at any level of schooling. Cares about students, fair grader, and clearly loves to teach, I am extremely lucky to have had him as an instructor."
3,8,"It's very obvious that Jeremy cares about his students and wants everyone to succeed. He's very willing to accommodate students and help them understand the material. I had positive interactions with Jeremy in office hours and found him to be very helpful, however I did not enjoy his lecture style. He often caters to students who are already very familiar with coding lingo. He did not use the provided slides and instead asks leading questions that require tons of background knowledge. I often felt completely lost in class and had to go over the department slides on my own to teach myself."
4,8,"Jeremy has been invested in his students since day one. He is understanding and patient but also always challenges us to do our best. I have gotten more out of Software 2 with him than I would've with any other professor. His approach allows us to learn and understand the information instead of just memorize it then forget it. Any concerns I had in his class were because of how the department structured the course and not because of Jeremy. He genuinely cares about his students and their wellbeing, which is unlike many professors. I am thankful that I was able to have him as my professor for Software 1 & 2."
5,8,"Jeremy is an amazing instructor. He was very proactive and engaged with the students throughout the course and he worked hard to alleviate as much stress as possible from the students and allowed students to learn from their mistakes. This course can be very challenging at times and having Jeremy as an instructor helped immensely in not only succeeding, but learning as much as possible about the core ideas in the course. It is also very beneficial for the students that Jeremy is very knowledgeable in the field because he was able to understand and provide solutions to questions asked by students. Jeremy held the midterm 2 and the final online, and I would actually suggest just keeping the exams in person because from what he said, there was a lot more cheating in the online test. Another thing that he can do for next semesters is to record and upload the lectures because I noticed that a good amount of students would not attend class, and maybe this would help the overall grade of the classes. Otherwise, I have no other critiques, anyone who gets Jeremy as their instructor is a lucky student, just like me."
6,8,"I think Jeremy is the ideal teacher for teaching all course level of computer programming classes. He enables critical thinking and encourages peer discussion to answer questions that would lead to later topics. Furthermore, instead of creating punishing exams, he would outline skills and topics that would potentially show up and allow us to remedy projects if we knew how to fix it. Overall, I wish instructors in cs courses would learn from Jeremy's teaching style and adopt their style of it."
7,8,Jeremy is one of the best CSE instructors I have had that genuinely cares for his students
8,8,Best professor in the CSE department.
9,8,Genuinely cares that students learn the material.
10,8,"Greatest professor in OSU! Absolute legend. I am so happy to finally have a professor in CSE that truly cares about students. God bless this man. And if there's no god, this man IS the god."
11,8,It has been an amazing experience learning from Instructor Grifski and I have overall gained knowledge and skills that I otherwise wouldn't have gotten from other instructors due to his tutorship.
12,8,Professor Grifski has a genuine love for teaching and it shows. He wants all of his students to not just learn the material but excel within the course and in our careers. He is almost always available and I found his office hours extremely helpful. He is extremely knowledgable in the field of CSE and I enjoyed his discord announcements as well.
13,8,"Great instructor, great class, 10 out of 10 all around!"
14,8,amazing
15,8,"Amazing professor. Definitely loved what he does, very interested in the material. Made class fun and was very ethical, in terms of doing what it best for students to learn. 100% would take this teacher again, no doubt. Easily the best teacher I have had in college so far."
16,8,"Jeremy is one of the best professors I've ever had. He really cares about his students and makes sure everyone does their best. Besides, his teaching style helps students think critically and not just read the slides."
17,8,"Jeremy Grifski is a great instructor, but the class is disorganized and outdated. This is not Jeremy's fault though, as the class is standardized. Jeremy has great ideas for the course, as he truly cares for students and understands how we learn best, but he can only do so much being restricted by the way the course is set up. I would choose Jeremy as course coordinator if I could."
18,8,"Love Jeremy! He's an amazing Professor, and makes everything simple enough for a toddler. Wouldn't have gotten through this class without him. But.... I HATE, keyword 'HATE' the CSE Department. Again I HATE the CSE department."
19,8,Jeremy truly cares for his student. He always thinks what could actually help student to learn.
20,8,Best
21,8,"Mr. Grifski cares about his students' success, and tries his best to give us more opportunities and resources. He genuinely cares and is very kind."
22,8,Professor Grifski really cares about if students really learn the concept and he himself is a very knowledgeable programmer. I feel like I learned so much from him and he is very active in office hours. I am very grateful for having him as my professor this semester.
23,8,"Very good professor, always help students with class work and other questions like in further academic career. I really got help a lot from him!"
24,7,Best instructor I ever had since college
25,7,VERY EXCELLENT INSTRUCTOR.
26,7,Best professor I've ever had!
27,7,"Mr Grifski is a nice teacher,"
28,7,"Jeremy is a rare type of instructor. You can tell through his passion of pedagogy that he genuinely loves to teach. He wants his students to succeed, and gives them opportunities that make that possible. Additionally, although some of the software sequence's material is quite dated, Jeremy still makes the lectures engaging. Finally, he's an innovator and has suggested novel ways to improve the course, such as through the pilot project that was introduced this semester. 10 out of 10"
29,7,"He is knowledgeable on the material, always well prepared for all the classes. He really cares what and how we learn even beyond the class. I hope he teaches my every single cse class. :)"
30,7,"This professor made a clear effort in building on the established course content provided by the CSE department and went out of his way to improve class participation including group discussion, opportunities for feedback, and peer review portions. The overall cookie cutter nature of the Software Sequence classes where every goes through the exact same slideshow year after year is lame and this professor put a clear effort into improving that curriculum with their own slideshows and day to day lesson plans. They provided templates and rubrics for all homeworks, checklists for projects, answer keys for past assignments and a wealth of support for exam prep."
31,7,Awesome!
32,7,"The greatest professor I've ever had, changed my perspective on computer science and reignited my passion !"
33,7,Best teacher I've ever had and most likely ever will.
34,7,Jeremy Grifski is one of the most effective and understanding instructors I've ever had. His communication is amazing.
35,7,Jeremey Grifski is quite literally the best professor at The Ohio State University
36,7,Thank you so much for your hard work! I wish more Professors were more like you!
37,7,Best professor I've had so far.
38,7,"One of the best professors, genuinely makes the learning interesting and fun and gives opportunities to redeem yourself."
39,7,"I really like Jeremy's course!! He indeed takes care of students' demands, makes the lessons interesting, and has a lot of in-class discussion participation to help students understand why we study this and where it comes from. I promise Jeremy is the best professor I've ever met."
40,7,Definitely the best instructor I've had in CSE
41,7,Genuinely cares about students
42,7,One of the best teachers I've had at osu
43,7,nice lec
44,7,The best teacher I have ever had. Truly cares for his students and goes to great lengths to help us succeed. He is able to relate to us and understands how we can learn better and works best for us. Allows us to think about the concepts and understand why they are rather than just reading off a slideshow.
45,6,"Wonderful professor, went over subjects in ways that can be comprehendible and easier to understand, and was patient to go over subjects students can find themselves struggling on. 10 out of 10 would recommend!"
46,6,He is the best
47,6,Having the topics being broken down and given the reasoning behind how and why things function versus simply going through slides was helpful in making things easier to understand. The slides essentially became an additional vs main resource which was nice especially when the slides seemed lacking in explanation
48,6,Jeremy for Dept. Chair.
49,6,"Jeremy was really good at making sure that we were on track to pass the class, meeting our needs in terms of doing well in the course, but also making sure that we were learning."
50,6,Jeremy's class was not only enjoyable but kept my morale up throughout the semester. I find his teaching and instruction styles to be really beneficial!
51,6,Best CSE Professor
52,6,"This class was a thoroughly enjoyable and informative class that helped have a somewhat competent mastery on understanding components for programming in Java, as well as a better grasp of how to problem solve."
53,6,The best teacher I have ever had at OSU!
54,6,Amazing teacher
55,6,Let him run the department. He's The best teacher
56,6,A really caring professor who wants you to do well and learn
57,6,Jeremy Grifski is one of the most helpful professors I have ever had.
58,6,Made it so that I was actually interested in learning. With the way exams were formatted and bonus project I feel like I was actually able to learn the content properly and think that it put me in a much better position than my peers with other instructors. Also was a very chill guy who actually cares about well being of students and would always give helpful insights and career advice. Could not have asked for a better Professor.
59,6,"Fantastic professor, I can tell he's genuinely interested in helping the students learn. Pilot project is an amazing idea"
