Completed Date,Task Title,Project Title
2020-08-24 18:33:35+00:00,You can add subtasks here! ✅,Welcome 👋
2020-08-24 18:33:36+00:00,Click this task to see more details,Welcome 👋
2020-08-24 18:33:42+00:00,Add a new task ➕,Welcome 👋
2020-08-24 18:33:42+00:00,Schedule this task 📅,Welcome 👋
2020-08-24 18:33:45+00:00,Add a section from the project menu in the top right `...`,Welcome 👋
2020-08-24 18:33:50+00:00,Click **+** next to Projects to add one of your own,Welcome 👋
2020-08-24 18:33:56+00:00,[Learn how to use Todoist with the Guide →](https://todoist.com/guide/getting-started?utm_source=todoist&utm_medium=in_app&utm_campaign=welcome_project),Welcome 👋
2020-08-24 18:33:56+00:00,[Questions? Need more tips? Visit the Help Center →](https://get.todoist.help/?utm_source=todoist&utm_medium=in_app&utm_campaign=welcome_project),Welcome 👋
2020-08-24 18:33:56+00:00,[Kickstart your projects with Templates →](https://todoist.com/templates?utm_source=todoist&utm_medium=in_app&utm_campaign=welcome_project),Welcome 👋
2020-08-24 18:33:56+00:00,[Get organized anywhere with the Apps →](https://todoist.com/downloads?focus=mobile&utm_source=todoist&utm_medium=in_app&utm_campaign=welcome_project),Welcome 👋
2020-08-24 20:22:20+00:00,Haghighi (2005),ENGREDU 6100
2020-08-24 20:25:04+00:00,Craft 1:1 Agenda,Inbox
2020-08-24 20:25:46+00:00,Craft CAREER Agenda,Inbox
2020-08-25 00:02:31+00:00,Streveler & Smith (2010),ENGREDU 6100
2020-08-25 15:00:01+00:00,Jesiek et al. (2009),ENGREDU 6100
2020-08-25 15:10:57+00:00,Post on Patreon,The Renegade Coder
2020-08-25 15:11:28+00:00,Post on Patreon,The Renegade Coder
2020-08-26 17:23:09+00:00,Read & Review Paper for BERG Meeting,Inbox
2020-08-27 18:22:56+00:00,Krathwohl_A Revision of Bloom's Taxonomy,ENGREDU 6200
2020-08-27 18:23:01+00:00,Schelland Butler_2018_Insights from the science of learning can inform evidence-based implementation of peer instruction,ENGREDU 6200
2020-08-28 17:55:55+00:00,Read Dunlosky et al_2013_Improving Students' Learning with Effective Learning Techniques,ENGREDU 6200
2020-08-28 18:17:12+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-08-28 18:26:02+00:00,Q&A,ENGREDU 6200
2020-08-28 20:11:16+00:00,Discussion 1 | Introductions,EED
2020-08-29 19:20:10+00:00,CHEER Chapter 1,ENGREDU 6100
2020-08-30 19:16:57+00:00,Akera et al. (2019),ENGREDU 6100
2020-08-30 20:56:52+00:00,Seely (1999),ENGREDU 6100
2020-08-30 21:30:54+00:00,Make Agenda for Meeting,Master's Project
2020-08-31 13:11:01+00:00,Post on Patreon,The Renegade Coder
2020-08-31 13:11:06+00:00,Update Newsletter,The Renegade Coder
2020-08-31 22:49:29+00:00,Personal Statement,ENGREDU 6100
2020-09-01 15:43:47+00:00,Send a Message to Dr. Christy about BERG Meeting,EED
2020-09-01 16:43:44+00:00,Craft CAREER Agenda,EED
2020-09-01 16:43:47+00:00,Plan an Attack at CAREER Literature,EED
2020-09-02 22:57:42+00:00,Update Race Protocol to Match Gender,EED
2020-09-03 20:09:24+00:00,Fix IRB Related Issues,EED
2020-09-03 20:21:10+00:00,Chi (2009),ENGREDU 6200
2020-09-03 20:21:10+00:00,"Bjork, Dunlosky, & Kornell (2013)",ENGREDU 6200
2020-09-03 20:21:13+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-09-03 23:46:58+00:00,Post on Patreon,The Renegade Coder
2020-09-03 23:47:24+00:00,MS Paperwork,EED
2020-09-04 01:54:27+00:00,Adams et al (2006),ENGREDU 6100
2020-09-06 00:33:29+00:00,Smith et al (2005),ENGREDU 6100
2020-09-06 00:33:47+00:00,Paper of Choice 1,ENGREDU 6100
2020-09-06 00:37:10+00:00,Make Agenda for Meeting,Master's Project
2020-09-06 00:53:57+00:00,Craft 1:1 Agenda,EED
2020-09-06 01:03:56+00:00,Craft CAREER Agenda,EED
2020-09-07 18:58:20+00:00,Critique Personal Statements,ENGREDU 6100
2020-09-07 19:42:08+00:00,Pioneer Activity (see slides),ENGREDU 6100
2020-09-07 19:45:13+00:00,Q&A,ENGREDU 6200
2020-09-07 20:29:46+00:00,Plan Next Semester Courses,Inbox
2020-09-07 20:33:09+00:00,Track Writing Time,EED
2020-09-07 20:44:13+00:00,EED Graduate Teaching Associate Policies,EED
2020-09-07 20:47:27+00:00,Employee Resource Guide,EED
2020-09-07 20:52:14+00:00,Student Life Disability Services,EED
2020-09-07 21:44:01+00:00,Analyze EDA Data,Master's Project
2020-09-08 03:11:22+00:00,Post on Patreon,The Renegade Coder
2020-09-11 17:32:01+00:00,CS Education Paper,EED
2020-09-11 17:32:04+00:00,Review 15 Papers,EED
2020-09-11 17:34:00+00:00,Track Writing Time,EED
2020-09-12 22:00:39+00:00,How Learning Works—Ch 1-4,ENGREDU 6200
2020-09-12 23:20:24+00:00,"Bransford, Brown, & Cocking (2000) [Chapter 1]",ENGREDU 6100
2020-09-13 00:52:31+00:00,CHEER Chapter 2,ENGREDU 6100
2020-09-13 22:34:30+00:00,Plot Spatial Density and Fixation Time on a Separate Plot,Master's Project
2020-09-14 03:53:45+00:00,Plot Click Counts on a Separate Plot,Master's Project
2020-09-14 15:25:46+00:00,Calculate Range-Corrected EDA,Master's Project
2020-09-14 15:25:52+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-09-14 15:25:53+00:00,Q&A,ENGREDU 6200
2020-09-14 15:38:03+00:00,Make Agenda for Meeting,Master's Project
2020-09-14 15:39:10+00:00,Craft CAREER Agenda,EED
2020-09-14 18:11:09+00:00,Class Summary,ENGREDU 6100
2020-09-14 18:13:43+00:00,Paper of Choice 2,ENGREDU 6100
2020-09-15 01:36:31+00:00,Paper - Abstract,ENGREDU 6100
2020-09-15 15:35:52+00:00,Review 15 Papers,EED
